,layer,method,number,accuracy,maxdepth
430,model.edge_s2s,SAE,8,0.9114583333333334,1
431,model.blocks.1.activation,SAE,28,0.783068783068783,1
432,model.edge_s2s,SOM,2,0.922077922077922,1
433,model.blocks.0.activation,SAE,17,0.7551020408163265,1
434,model.edge_s2s,SAE,122,0.9035532994923858,1
435,model.node_s2s,baseline,37,0.9336734693877551,1
436,model.blocks.0.activation,SAE,34,0.8928571428571429,1
437,model.blocks.2.activation,baseline,6,0.7657142857142857,1
438,model.blocks.2.activation,SAE,47,0.8816568047337278,1
439,model.edge_s2s,baseline,50,0.8730964467005076,1
440,model.output_proj.layers.2,baseline,2,0.8736842105263158,1
441,model.blocks.1.activation,SOM,2,0.9235668789808917,1
442,model.edge_s2s,SAE,126,0.8426395939086294,1
443,model.output_proj.layers.2,SAE,41,0.7537688442211056,1
444,model.blocks.2.activation,SOM,14,0.881578947368421,1
445,model.blocks.1.activation,SOM,12,0.9302325581395349,1
446,model.node_s2s,baseline,31,0.8601036269430051,1
447,model.blocks.2.activation,baseline,2,0.8736842105263158,1
448,model.edge_s2s,SAE,110,0.8497409326424871,1
449,model.blocks.0.activation,SAE,19,0.7777777777777778,1
450,model.state_encoder.layers.1,SAE,13,0.9698492462311558,1
451,model.node_s2s,SAE,129,0.8393782383419689,1
452,model.edge_s2s,SAE,113,0.7164948453608248,1
453,model.node_s2s,SAE,181,0.84375,1
454,model.node_s2s,SAE,162,0.8080808080808081,1
455,model.edge_s2s,SAE,10,0.7747252747252747,1
456,model.blocks.2.activation,SAE,5,0.7969543147208121,1
457,model.blocks.0.activation,baseline,15,0.8743718592964824,1
458,model.blocks.0.activation,SAE,7,0.8808290155440415,1
459,model.edge_s2s,SAE,119,0.8571428571428571,1
460,model.blocks.0.activation,SOM,2,0.8774193548387097,1
461,model.output_proj.layers.2,baseline,13,0.844559585492228,1
462,model.edge_s2s,baseline,20,0.8391959798994975,1
463,model.node_s2s,baseline,14,0.8421052631578947,1
464,model.blocks.1.activation,SAE,17,0.9494949494949495,1
465,model.node_s2s,SAE,151,0.8489583333333334,1
466,model.blocks.2.activation,SOM,12,0.9488636363636364,1
467,model.edge_s2s,SOM,7,0.9263803680981595,1
468,model.node_s2s,SAE,11,0.7789473684210526,1
469,model.node_s2s,SAE,110,0.8297872340425532,1
470,model.edge_s2s,baseline,15,0.7580645161290323,1
471,model.output_proj.layers.2,SAE,43,0.8186528497409327,1
472,model.edge_s2s,SAE,85,0.8481675392670157,1
473,model.edge_s2s,SAE,147,0.9132653061224489,1
474,model.edge_s2s,SAE,62,0.8201058201058201,1
475,model.edge_s2s,SAE,153,0.7908163265306123,1
476,model.node_s2s,SAE,153,0.7474747474747475,1
477,model.edge_s2s,SOM,4,0.9285714285714286,1
