band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
0.0,9.236132,10.33024,0.0,7.778415,1.10171,-7.194776,1.10171,0.525,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.384544,0.384544,0.01861255,-7.194776,-7.543,20.66047,1
0.0,11.55972,9.779193,0.0,6.565377,0.0,-7.021866,-0.3795529,0.21,0.0,0.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,6e-07,1.5e-07,5.112896e-09,-20.7743,0.002,117.3503,1
0.0,12.54017,23.96069,0.0,3.280537,1.211238,-47.3806,1.211238,0.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,1.0,0.2761434,0.01255197,0.0005238569,-10.64654,0.0,527.1352,1
0.0,19.82876,15.68482,0.0,7.397537,0.259099,-51.19063,-0.1638579,0.337,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0065515,0.0065515,0.0001044242,-11.00513,0.641,62.7393,1
0.0,9.544086,12.02612,0.0,5.408905,1.131357,-22.23148,-0.2454397,0.334,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,6.2e-06,6.2e-06,8.592405e-08,-9.311063,1.618,72.15675,1
0.0,13.42373,27.5378,0.0,9.811879,0.3429357,-67.77065,0.3429357,0.372,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,3.275036,3.275036,0.05946437,-7.159093,0.735,55.07559,1
0.0,5.982377,34.72488,0.0,2.092025,2.000657,-3.925218,1.481037,0.395,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0027818,0.0027818,1.602194e-05,-3.925218,-34.612,173.6244,1
0.0,19.28411,12.32713,0.0,7.971035,0.0,-41.67912,-0.08897282,0.268,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1e-07,1e-07,2.028047e-09,-41.67912,0.105,49.30852,1
0.0,17.47991,14.69027,0.0,7.962438,0.2197646,-43.16825,-0.1948852,0.34,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0059026,0.0059026,0.0001004509,-10.52816,1.236,58.76106,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,9.66703,12.18699,0.0,7.040885,0.0,-7.007511,-0.2796995,0.309,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,3.15e-05,3.15e-05,6.461809e-07,-17.53939,0.008,48.74796,1
1.7265,2.098832,7.022449,0.0,5.434143,0.3795331,-4.711685,0.1548451,0.415,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.1e-05,5.5e-06,3.916013e-07,-4.080446,-31.012,28.0898,1
0.0,3.554952,5.610269,0.0,10.44087,2.756673,-6.471993,2.756673,0.041,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.471993,0.0,5.610269,1
