target,band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,cbm,vbm
1,1.2535,6.075568,13.15642,0.0,1.974274,0.05581009,-11.45264,-0.7772131,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0006841,0.000171025,4.33312e-06,-4.149844,157.877,3.1735,1.92
1,0.0,2.454863,12.6796,0.0,0.3080194,0.6237565,-6.23455,-1.583959,0.0,1.0,1.0,0.0,2.0,8.0,6.0,1.0,1.0,6.003905,3.001953,0.05918861,-5.7193,101.4368,0.0,0.0
1,0.0,3.784463,10.51631,0.0,3.982509,0.2147185,-8.535965,0.05784575,0.0,1.0,1.0,0.0,3.0,8.0,2.0,1.0,0.0,7.988431,3.994215,0.09495285,-8.355465,84.1305,0.0,0.0
1,1.5869,1.771856,15.93377,0.0,0.2821472,0.1565061,-8.667213,0.06972716,1.0,1.0,0.0,0.0,3.0,22.0,2.0,1.0,0.0,9.997921,4.99896,0.02852124,-8.470304,350.543,1.7698,0.1829
1,4.2392,4.366106,40.46838,0.0,-0.5251727,0.0,-21.19796,-2.072678,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.19796,80.93675,3.7016,-0.5376
1,4.5205,1.662121,14.82442,0.0,-0.6359519,0.1028378,-7.699175,-0.2301942,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0017636,0.0004409,4.956911e-06,-7.518675,355.7861,3.7654,-0.7551
1,4.5441,2.046405,18.0357,0.0,-1.959885,0.139631,-7.877438,0.1138659,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0015001,0.00075005,3.780633e-06,-7.680529,396.7854,2.5097,-2.0344
1,0.0,4.101986,10.01481,0.0,4.306896,0.2009421,-8.088938,0.1707212,0.0,1.0,1.0,0.0,3.0,8.0,2.0,1.0,0.0,2.000059,1.00003,0.02496376,-7.908438,80.1185,0.0,0.0
1,0.3345,2.377901,13.98605,0.0,2.574853,0.6975146,-9.246659,-2.348303,1.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0008627,0.000215675,5.140241e-06,-7.218749,167.8326,2.8463,2.5118
1,0.0,6.827386,25.42524,0.0,3.585843,0.1570726,-4.85691,-0.3985807,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,3.76895,3.76895,0.03705914,-4.62091,101.7009,0.0,0.0
1,2.1627,1.928606,27.60812,0.0,0.5568336,0.02768128,-8.007318,0.02768128,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.007318,552.1625,2.665,0.5023
1,0.0,7.689351,12.0941,0.0,7.181062,0.09471867,-17.62671,-0.08000038,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0077819,0.0077819,0.0003217231,-9.246143,24.18819,0.0,0.0
1,3.718,1.474527,18.9418,0.0,-1.533648,0.4663577,-7.474856,0.3795931,1.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,0.0,0.003256,0.000407,4.297373e-06,-7.229856,757.6722,2.1245,-1.5935
1,0.0,6.704131,18.72914,0.0,1.599951,0.4377886,-17.9121,0.4377886,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,0.1032898,0.0516449,0.0009191542,-5.673964,112.3748,0.0,0.0
1,0.0,7.528091,8.044506,0.0,6.836369,0.3741603,-10.80733,0.3741603,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0141299,0.0141299,0.0008782329,-7.241629,16.08901,0.0,0.0
