band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
1.424,8.952684,19.44398,0.0,6.072874,0.0,-36.94517,-2.296564,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.94517,0.0,97.2199,1
0.0,19.74175,16.06017,0.0,7.532401,0.0,-51.0878,-1.184154,0.3,0.0,0.0,1.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0878,0.072,256.9627,1
0.0,4.924737,12.33424,0.0,6.995941,0.0,-13.12237,-1.454285,0.253,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.12237,0.73,74.00546,1
0.0,9.91305,23.4873,0.0,6.585088,0.0,-8.736953,-1.668001,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,4.84e-05,4.84e-05,4.121376e-07,-46.48069,0.0,117.4365,1
0.0,11.41329,14.75722,0.0,9.494978,0.003021743,-38.50531,-1.742102,0.0,0.0,1.0,1.0,0.0,2.0,41.0,16.0,6.0,1.0,20.99866,20.99866,0.03470588,-10.89184,0.0,605.0462,1
1.3592,9.328971,20.32914,0.0,5.489567,0.0,-38.13739,-2.233468,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.13739,0.0,101.6457,1
0.0,3.853398,20.09783,0.0,0.967425,3.077492,-5.346456,-0.4122043,0.472,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.3616125,0.3616125,0.003598522,-4.934256,11.262,100.4892,1
0.0,16.16619,19.05839,0.0,13.57038,0.03222137,-62.3881,-0.2381325,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0329495,0.0329495,0.0004322178,-62.3881,0.0,76.23356,1
0.0,4.811233,11.34625,0.0,3.798614,0.4997346,-11.04329,-0.02844825,0.342,0.0,1.0,1.0,0.0,2.0,16.0,8.0,1.0,0.0,8.060597,1.007575,0.04440123,-7.921405,12.229,181.5399,1
0.0,3.847195,9.578859,0.0,7.175752,0.907644,-8.676218,0.02084761,0.182,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0012655,0.00063275,2.201898e-05,-6.494945,0.159,57.47315,1
2.6859,7.653137,26.97355,0.0,3.893778,0.0,-7.793556,-2.051722,0.18,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.77907,34.588,161.8413,1
0.4292,4.361248,27.94609,0.0,5.533627,0.1919988,-16.56798,0.1919988,0.223,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,5.5e-06,5.5e-06,9.840374e-08,-4.560946,0.365,55.89219,1
0.0,4.560131,19.85555,0.0,6.363735,0.0,-13.01327,-0.4145618,0.266,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.01327,0.814,99.27776,1
0.0,6.710751,12.03302,0.0,6.434151,0.03535381,-7.452449,-0.1635394,0.29,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,0.0,7.322192,7.322192,0.1521271,-12.636,2.626,48.13207,1
0.0,7.660338,21.66713,0.0,4.661446,0.0,-23.90576,-1.844201,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2e-07,2e-07,4.615287e-09,-23.90576,0.0,43.33425,1
0.0,12.25985,16.45976,0.0,10.95388,0.0,-9.813561,-0.4270796,0.299,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,7.3e-06,7.3e-06,2.217529e-07,-43.99326,0.042,32.91953,1
7.4848,0.03997629,41.86791,0.0,-6.662299,2.330814,-1.124298,2.330814,0.39,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.02388464,-1.124298,0.321,83.73582,1
0.0,3.305689,19.99665,0.0,6.411683,0.0,-10.67906,-0.4139917,0.271,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,1e-07,1e-07,1.000167e-09,-10.67906,0.844,99.98327,1
0.0,10.68773,19.68612,0.0,6.247945,0.0,-8.305696,-0.9920403,0.281,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0875,1.321,157.4889,1
0.0,12.95637,13.39167,0.0,5.514113,2.247475,-4.003799,2.247475,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0003241,0.0003241,1.210081e-05,-4.003799,0.0,26.78334,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
