band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
0.0,1.971566,17.92984,0.0,0.1447701,0.0,1.0,1.0,0.0,3.0,20.0,8.0,3.0,0.0,8.000482,2.00012,0.02231052,358.5969,1,0.5728404,-5.762234,-0.2425201,-4.05126
5.3228,3.19321,20.13837,0.0,-1.421529,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,120.8302,1,0.01625127,-9.89153,-0.7091559,-9.89153
2.3705,1.974222,19.01784,0.0,0.6803391,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0020069,0.00100345,1.31909e-05,152.1428,1,0.3757341,-6.052947,-0.6434665,-3.830541
0.18595,1.47986745,258.625785,0.0,-0.09632450000000004,0.0,0.0,0.5,0.0,1.0,3.5,0.0,0.0,0.0,4.43e-05,7.841665e-06,1.337447005e-07,396.14745000000005,1,0.8180590000000001,-14.3276,0.8180590000000001,-0.87143415
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
5.444,3.361416,19.13064,0.0,-1.1461,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,459.1355,1,0.0002529683,-9.907528,-0.7251542,-9.907528
0.0,15.06206,15.26464,0.0,10.95697,0.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,0.0,2.633681,2.633681,0.03450695,76.32322,1,0.0,-10.31733,-0.3416117,-46.92934
5.4717,2.19965,18.50278,0.0,-0.9939577,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0003373,0.00016865,1.822969e-06,185.0278,1,0.05093035,-4.713489,-1.146149,-4.301289
0.0,2.238046,9.630583,0.0,1.046206,0.0,1.0,1.0,0.0,2.0,6.0,4.0,1.0,1.0,1.999717,0.9998587,0.03460707,57.7835,1,0.08308098,-4.977851,-1.040035,-4.870518
2.3389,3.350723,24.82308,0.0,1.358131,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,198.5846,1,0.3517861,-11.52956,-0.7363247,-3.858016
5.3706,3.394847,21.16553,0.0,-0.2561189,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0001129,5.645e-05,5.334145e-07,211.6553,1,0.07090655,-10.6263,-0.799582,-4.255472
4.5707,4.725332,17.79515,0.0,-0.4038258,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,106.7709,1,0.0,-4.701775,-0.6969306,-14.13388
5.5725,2.198745,18.5104,0.0,-1.019735,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0018361,0.000459025,4.959645e-06,370.208,1,0.05090685,-4.713512,-1.146173,-4.301312
1.7785,7.859208,12.04697,0.0,5.394173,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,2.3e-06,2.3e-06,3.181989e-08,72.28183,1,0.2955731,-8.914661,-3.396983,-8.456661
0.0,4.76606,13.48458,0.0,0.8518392,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,2.008457,2.008457,0.02978894,67.42292,1,0.1662051,-5.05649,-0.8228816,-4.64429
5.7061,1.86296,18.97512,0.0,-1.652721,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0009456,0.0002364,2.491684e-06,379.5023,1,0.06845224,-6.266622,-0.7469082,-4.240048
2.4078,2.929896,21.66706,0.0,1.082055,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,173.3365,1,0.345297,-4.217964,-1.034565,-3.874464
0.0,11.85716,22.8458,0.0,9.346487,0.0,1.0,1.0,0.0,3.0,10.0,4.0,1.0,0.0,21.41999,10.71,0.09375899,228.458,1,0.03357744,-8.810934,-0.2919731,-48.95394
3.4507,3.281151,14.75202,0.0,-3.49906,0.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0243,1,0.0,-5.764158,-0.9692183,-5.764158
4.8339,2.032143,13.6814,0.0,-1.857268,0.0,0.0,0.0,0.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1313.414,1,0.01938309,-4.714652,-0.539192,-4.256652
0.0064,2.16928,15.32289,0.0,1.528617,1.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,1.0,0.0015485,0.000387125,5.052897e-06,306.4578,1,1.377773,-6.525865,-1.307653,-6.113665
4.4999,2.023259,16.74831,0.0,-0.8668126,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4898,1,0.1114617,-6.161209,-0.5680054,-4.265189
4.0938,3.118684,16.68026,0.0,-0.8405771,0.0,0.0,0.0,1.0,4.0,56.0,0.0,0.0,0.0,0.0002293,0.00011465,2.454783e-07,934.0948,1,0.0,-4.879227,-0.8046015,-4.388513
0.0,5.469869,20.2017,0.0,1.389351,0.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0023648,0.0023648,1.170595e-05,202.017,1,0.0,0.0,0.0,0.0
0.8647,3.140545,23.17478,0.0,-1.072978,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0008787,0.00043935,4.739528e-06,185.3982,1,0.2363512,-3.903222,-0.2542215,-3.822722
0.0,3.457871,14.14824,0.0,-0.8221259,0.0,0.0,1.0,0.0,3.0,32.0,0.0,0.0,0.0,1.781632,0.8908158,0.003935188,452.7437,1,0.0,0.0,0.0,0.0
0.0,18.16602,20.20006,0.0,11.70432,0.0,0.0,1.0,0.0,2.0,36.0,0.0,0.0,0.0,1.79832,0.4495799,0.002472929,727.2022,1,0.7626319,-11.47387,0.6420617,-11.47387
0.0,3.94863,15.42516,0.0,-0.7470135,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,2.103843,2.103843,0.02727808,77.12578,1,0.4743964,-4.037286,-0.6055818,-3.625086
0.5132,1.819295,19.43053,0.0,-0.8650801,1.0,1.0,0.0,0.0,3.0,20.0,12.0,12.0,1.0,12.0,3.0,0.03087923,388.6107,1,0.5105026,-5.824572,-0.3048579,-4.113598
2.5997,2.630031,15.78275,0.0,2.256395,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0002411,0.00012055,1.091155e-06,220.9585,1,0.1902066,-7.113747,-0.944351,-4.485636
0.0,5.60023,19.34643,0.0,1.49232,0.0,1.0,1.0,0.0,3.0,5.0,3.0,2.0,0.0,0.9999795,0.9999795,0.01033761,96.73216,1,0.1908281,-7.202809,-2.888561,-6.790609
1.1804,2.29172,18.56029,0.0,-2.285487,0.0,0.0,0.0,1.0,3.0,42.0,0.0,0.0,1.0,0.0002031,0.00010155,2.605409e-07,779.532,1,0.0,-5.259823,-0.8518558,-4.736395
0.0,4.405798,17.0993,0.0,2.046312,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0278837,0.0278837,0.0003261385,85.4965,1,2.517241,-12.25898,-1.103502,-5.74902
3.6753,2.356082,14.32301,0.0,-2.237001,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,257.8141,1,0.2470657,-5.756204,0.2470657,-5.756204
0.0,5.78389,18.92357,0.0,1.402978,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,0.9999457,0.9999457,0.01056826,94.61784,1,0.1785234,-7.238127,-2.929345,-6.825927
0.0,2.70207,15.043,0.0,1.673117,0.0,1.0,1.0,0.0,3.0,25.0,7.0,16.0,1.0,3.976946,3.976946,0.01057487,376.0751,1,0.863271,-7.039032,-2.433521,-6.599352
0.0,6.149602,27.88835,0.0,7.227609,0.0,1.0,1.0,1.0,3.0,10.0,8.0,2.0,1.0,5.78406,2.89203,0.02074006,278.8835,1,0.0,-6.235637,-0.5785519,-23.02905
5.2431,2.808635,12.065,0.0,0.09548293,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,5e-06,1.25e-06,1.726758e-08,289.5599,1,0.02648704,-6.246184,-0.65298,-4.350164
0.0,11.48849,26.42389,0.0,10.71621,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,3.681522,3.681522,0.06966276,52.84777,1,0.09633642,-53.55369,-0.8740584,-7.65859
0.0,3.040508,13.15207,0.0,-3.152296,0.0,1.0,1.0,0.0,3.0,24.0,2.0,1.0,0.0,2.073808,1.036904,0.006569969,315.6497,1,0.06123627,-4.715245,-0.6955964,-4.715245
0.0234,2.258481,17.35005,0.0,-1.588384,1.0,1.0,0.0,0.0,3.0,102.0,9.0,33.0,0.0,13.4954,4.498466,0.007625787,1769.706,1,0.1454619,-6.5794,-0.02110731,-4.036922
0.0,4.412492,14.26167,0.0,-2.271732,0.0,1.0,1.0,1.0,3.0,36.0,12.0,2.0,0.0,7e-07,1.75e-07,1.363406e-09,513.42,1,0.0,-10.05962,-0.9317336,-10.05962
0.0,3.100596,15.77851,0.0,-1.802421,0.0,0.0,1.0,0.0,3.0,32.0,0.0,0.0,0.0,1.764657,0.8823283,0.003494977,504.9122,1,0.0,0.0,0.0,0.0
1.6207,2.247697,14.92879,0.0,-1.722739,1.0,0.0,0.0,1.0,4.0,14.0,0.0,0.0,0.0,0.004558,0.002279,2.18083e-05,209.003,1,0.0,-4.184615,-0.9296154,-3.822472
0.0,3.086431,12.95638,0.0,-3.111595,0.0,0.0,1.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,310.9531,1,0.0,0.0,0.0,0.0
0.0,10.2308,20.56821,0.0,3.327184,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0245788,0.0245788,0.0002389979,102.8411,0,3.415863,-5.496299,2.918989,-5.496299
0.0,2.303328,11.55608,0.0,4.887903,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,1.01e-05,1.01e-05,2.184997e-07,46.22433,0,2.288662,-6.091108,2.18672,-6.091108
0.0,6.058692,20.64478,0.0,1.559278,0.0,1.0,1.0,0.0,3.0,5.0,5.0,3.0,1.0,11.66638,11.66638,0.1130202,103.2239,0,2.237165,-5.97806,1.985835,-5.90586
0.0,5.469897,15.10483,0.0,3.348754,0.0,1.0,1.0,0.0,2.0,5.0,5.0,3.0,0.0,5.002412,5.002412,0.06623591,75.52417,0,2.018678,-9.392446,2.018678,-4.248205
0.0,4.144495,19.75644,0.0,2.158881,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,11.24265,11.24265,0.1138125,98.7822,0,2.037093,-6.031599,1.916962,-6.031599
0.0,5.049622,15.79998,0.0,2.66115,0.0,1.0,1.0,0.0,3.0,5.0,5.0,3.0,0.0,10.99039,10.99039,0.1391189,78.99992,0,1.937313,-6.121132,1.784563,-6.048932
0.0,12.95637,13.39167,0.0,5.514113,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0003241,0.0003241,1.210081e-05,26.78334,0,2.247475,-4.003799,2.247475,-4.003799
0.0,4.189327,22.33378,0.0,1.369121,0.0,1.0,1.0,0.0,3.0,5.0,5.0,3.0,0.0,12.22803,12.22803,0.1095026,111.6689,0,2.06271,-13.85988,1.603114,-6.816064
0.0,7.992634,12.66028,0.0,3.689133,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0004318,0.0004318,1.705333e-05,25.32057,0,1.544426,-13.69789,1.544426,-3.859599
0.0,8.11896,12.4633,0.0,3.630366,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0010898,0.0005449,2.186019e-05,49.85319,0,1.429242,-13.81307,1.429242,-3.974783
0.0,4.784525,16.22589,0.0,2.754058,0.0,1.0,1.0,0.0,2.0,5.0,5.0,3.0,0.0,7.742492,7.742492,0.09543383,81.12943,0,1.987055,-11.88106,1.691358,-7.184062
0.0,5.97435,15.97701,0.0,6.741402,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,8.6e-05,4.3e-05,6.72842e-07,127.816,0,1.386236,-4.388202,1.386236,-4.388202
0.0,7.376716,14.22866,0.0,2.462257,0.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,1.997611,0.9988053,0.03509837,56.91463,0,0.9604629,-13.65641,0.9604629,-3.488729
0.0,4.152173,19.37486,0.0,1.869954,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,11.17814,11.17814,0.1153881,96.87428,0,2.072427,-5.596448,1.998443,-5.596448
0.0,5.140392,33.36691,0.0,1.788733,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0006871,0.0006871,4.118452e-06,166.8345,0,1.73394,-20.97165,0.793462,-4.180874
0.0,6.675602,15.15804,0.0,2.17845,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0049141,0.0049141,0.0001620955,30.31607,0,1.54949,-13.69282,1.54949,-3.854536
0.0,5.070189,20.77387,0.0,2.624162,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0005376,0.0005376,6.469665e-06,83.09549,0,1.414002,-10.73171,1.414002,-1.344143
0.0,3.690811,26.24271,0.0,2.012232,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,0.0,11.68343,11.68343,0.08904136,131.2135,0,2.41415,-5.551798,2.342979,-5.551798
0.0,7.260248,10.24905,0.0,5.072836,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.001032,0.001032,3.356409e-05,30.74715,0,1.41724,-12.32208,1.41724,-5.626384
0.0,1.160966,14.71088,0.0,-2.251445,0.0,1.0,1.0,0.0,4.0,42.0,10.0,2.0,0.0,19.99611,9.998053,0.03236365,617.857,0,1.590249,-4.596275,0.889883,-4.527513
0.0,15.39914,11.16584,0.0,8.15135,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,9.59e-05,9.59e-05,4.294346e-06,22.33169,0,2.009089,-5.64081,2.009089,-5.64081
0.0,10.14074,17.57003,0.0,1.569472,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0307725,0.01538625,0.0004378549,70.28013,0,1.415452,-27.83283,1.415452,-2.724136
0.0,12.9799,19.63049,0.0,2.81233,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0107523,0.0107523,0.0001369337,78.52196,0,1.527436,-1.011984,1.527436,-1.011984
0.0,12.88434,19.77608,0.0,2.889151,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0003684,0.0003684,4.657142e-06,79.10431,0,1.51484,-1.02458,1.51484,-1.02458
