band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
0.0,2.570198,19.07834,0.0,6.965106,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0014511,0.0014511,3.803004e-05,38.15668,0.0,0.0,1,0.3663011,-8.691582,0.1963389,-5.188236
2.578,2.549252,7.433425,0.0,4.898245,0.0,0.0,0.0,0.0,2.0,95.0,0.0,0.0,1.0,0.001742,0.001742,2.466809e-06,706.1754,7.4762,4.8982,1,0.0196611,-7.782067,-0.5961629,-7.032396
1.7395,2.259448,21.70225,0.0,3.507356,0.0,0.0,0.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,520.8539,5.2046,3.4651,1,0.0,-9.057883,-0.1699622,-9.057883
0.0,11.27716,15.93179,0.0,7.185502,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0001122,0.0001122,3.521262e-06,31.86357,0.0,0.0,1,2.112441,-3.687627,2.112441,-3.687627
2.3416,2.556639,7.432714,0.0,5.149841,0.0,0.0,0.0,0.0,2.0,82.0,0.0,0.0,1.0,0.0037281,0.00186405,6.116828e-06,609.4825,7.4034,5.0618,1,0.01648529,-7.809476,-0.6321099,-7.055404
0.0,6.212377,19.41633,0.0,5.81677,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0033783,0.000844575,4.349818e-05,77.66531,0.0,0.0,1,0.2431095,-13.62887,0.2431095,-4.379918
0.0,8.671812,32.05492,0.0,6.111022,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0002146,0.0002146,3.34738e-06,64.10984,0.0,0.0,1,0.227904,-41.12711,-0.2759259,-3.605816
0.0,2.552914,9.279232,0.0,7.895158,0.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,1.0,8.7e-06,2.9e-06,6.250517e-08,139.1885,0.0,0.0,1,0.2816218,-7.385534,0.2463019,-6.179138
0.0,3.342218,13.95393,0.0,9.193898,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95393,0.0,0.0,1,0.531566,-8.242199,0.531566,-4.893752
7.5517,0.04184964,39.99374,0.0,-6.591373,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.02500391,39.99374,0.8967,-6.655,1,2.330944,-1.124168,2.330944,-1.124168
0.0,7.499008,26.96186,0.0,7.782932,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.96186,0.0,0.0,1,0.3019399,-25.40438,0.3019399,-3.827061
0.0,2.093864,8.573665,0.0,4.702494,0.0,0.0,1.0,0.0,1.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,925.9558,0.0,0.0,1,0.7090749,-6.637279,0.7090749,-5.970317
0.0,7.71321,26.21311,0.0,7.9844,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.21311,0.0,0.0,1,0.2385246,-25.46779,0.2385246,-3.890477
0.0,7.524751,25.95129,0.0,6.189639,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0018223,0.0018223,1.7555e-05,103.8052,0.0,0.0,1,1.169862,-2.942149,0.8922201,-2.731149
0.4047,4.213018,21.61844,0.0,4.72284,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,151.3291,5.0743,4.6696,1,0.04686195,-12.21128,-0.04679299,-12.21128
0.0,4.541541,11.26921,0.0,6.944652,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0003483,0.0003483,1.030241e-05,33.80763,0.0,0.0,1,0.7640788,-4.256831,0.7571133,-4.256831
1.8564,2.621774,7.316757,0.0,5.285131,1.0,0.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,102.4346,6.9422,5.0858,1,0.0,-7.908179,-0.7597829,-7.908179
0.0,7.233115,28.78348,0.0,7.618177,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0024959,0.0024959,2.167823e-05,115.1339,0.0,0.0,1,0.113961,-25.26803,-0.01856393,-3.177991
1.8454,2.232614,23.03718,0.0,3.13065,0.0,0.0,0.0,1.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.123,4.9428,3.0974,1,0.0,-9.002076,0.0,-9.002076
